@W: CG104 :"/opt/achronix/ACE_10_3_1/Achronix-linux/libraries/speedster7t/macros/ACX_DEVICE_MANAGER.svp":20403:29:20403:29|Unsized number in concatenation is 32 bits
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[72] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[73] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[74] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[75] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[76] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[77] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[78] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[79] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[80] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[81] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[82] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[83] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[84] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[85] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[86] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[87] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[88] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[89] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[90] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[91] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[92] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[93] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[94] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[95] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[96] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[97] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[98] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[99] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[100] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[101] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[102] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[103] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[104] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[105] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[106] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[107] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[108] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[109] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[110] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[111] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[112] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[113] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[114] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL190 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Optimizing register bit o_bram_wr_data[115] to a constant 0. To keep the instance, apply constraint syn_preserve=1 on the instance.
@W: CL177 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Sharing sequential element o_fifo_ren and merging fifo_rd_pipeline. Add a syn_preserve attribute to the element to prevent sharing.
@W: CL279 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/result_fifo_to_simple_bram.sv":53:4:53:12|Pruning register bits 255 to 16 of o_bram_wr_data[255:0]. If this is not the intended behavior, drive the inputs with valid values, or inputs from the top level.
@W: CS263 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":623:45:623:52|Port-width mismatch for port o_ce_state. The port definition is 64 bits, but the actual port connection bit width is 4. Adjust either the definition or the instantiation of this port.
@W: CS263 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":624:45:624:55|Port-width mismatch for port o_last_opcode. The port definition is 8 bits, but the actual port connection bit width is 4. Adjust either the definition or the instantiation of this port.
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":438:6:438:22|Undriven input i_internal_rd_en on instance i_axi_bram_rsp_dl
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":438:6:438:22|Undriven input i_internal_rd_addr on instance i_axi_bram_rsp_dl
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":438:6:438:22|Undriven input i_internal_wr_en on instance i_axi_bram_rsp_dl
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":438:6:438:22|Undriven input i_internal_wr_addr on instance i_axi_bram_rsp_dl
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":438:6:438:22|Undriven input i_internal_wr_data on instance i_axi_bram_rsp_dl
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":967:6:967:16|Undriven input i_fpga_sys_scl_in on instance x_bw_bmc_if
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":967:6:967:16|Undriven input i_fpga_sys_sda_in on instance x_bw_bmc_if
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":967:6:967:16|Undriven input i_fpga_i2c_mux_gnt on instance x_bw_bmc_if
@W: CG1239 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1062:28:1062:28|Undriven input i_trigger on instance x_snapshot
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":46:22:46:37|Removing wire ext_gpio_fpga_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":47:22:47:38|Removing wire ext_gpio_fpga_out, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":75:22:75:32|Removing wire recov_clk_0, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":76:22:76:35|Removing wire recov_clk_0_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":82:22:82:30|Removing wire clk_gpio0, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":83:22:83:33|Removing wire clk_gpio0_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":84:22:84:30|Removing wire clk_gpio1, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":85:22:85:33|Removing wire clk_gpio1_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":86:22:86:29|Removing wire freq_dec, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":87:22:87:32|Removing wire freq_dec_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":88:22:88:29|Removing wire freq_inc, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":89:22:89:32|Removing wire freq_inc_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":90:22:90:32|Removing wire u1pps_1_dir, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":91:22:91:35|Removing wire u1pps_1_dir_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":92:22:92:31|Removing wire u1pps_1_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":93:22:93:32|Removing wire u1pps_1_out, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":94:22:94:32|Removing wire u1pps_2_dir, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":95:22:95:35|Removing wire u1pps_2_dir_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":96:22:96:31|Removing wire u1pps_2_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":97:22:97:32|Removing wire u1pps_2_out, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":98:22:98:31|Removing wire u1pps_en_l, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":99:22:99:34|Removing wire u1pps_en_l_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":104:22:104:36|Removing wire fpga_sys_scl_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":105:22:105:37|Removing wire fpga_sys_scl_out, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":106:22:106:36|Removing wire fpga_sys_sda_oe, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":107:22:107:37|Removing wire fpga_sys_sda_out, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":108:22:108:32|Removing wire recov_clk_1, as there is no assignment to it.
@W: CG360 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":109:22:109:35|Removing wire recov_clk_1_oe, as there is no assignment to it.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1004:20:1004:31|Object test_awburst is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1005:20:1005:30|Object test_awlock is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1006:20:1006:30|Object test_awsize is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1007:20:1007:29|Object test_awlen is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1008:20:1008:28|Object test_awid is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1009:20:1009:30|Object test_awaddr is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1011:20:1011:29|Object test_wdata is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1016:20:1016:27|Object test_bid is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1022:20:1022:27|Object test_rid is declared but not assigned. Either assign a value or remove the declaration.
@W: CG133 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":1023:20:1023:28|Object test_arid is declared but not assigned. Either assign a value or remove the declaration.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":46:22:46:37|*Output ext_gpio_fpga_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":47:22:47:38|*Output ext_gpio_fpga_out has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":75:22:75:32|*Output recov_clk_0 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":76:22:76:35|*Output recov_clk_0_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":82:22:82:30|*Output clk_gpio0 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":83:22:83:33|*Output clk_gpio0_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":84:22:84:30|*Output clk_gpio1 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":85:22:85:33|*Output clk_gpio1_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":86:22:86:29|*Output freq_dec has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":87:22:87:32|*Output freq_dec_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":88:22:88:29|*Output freq_inc has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":89:22:89:32|*Output freq_inc_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":90:22:90:32|*Output u1pps_1_dir has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":91:22:91:35|*Output u1pps_1_dir_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":92:22:92:31|*Output u1pps_1_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":93:22:93:32|*Output u1pps_1_out has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":94:22:94:32|*Output u1pps_2_dir has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":95:22:95:35|*Output u1pps_2_dir_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":96:22:96:31|*Output u1pps_2_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":97:22:97:32|*Output u1pps_2_out has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":98:22:98:31|*Output u1pps_en_l has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":99:22:99:34|*Output u1pps_en_l_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":104:22:104:36|*Output fpga_sys_scl_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":105:22:105:37|*Output fpga_sys_scl_out has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":106:22:106:36|*Output fpga_sys_sda_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":107:22:107:37|*Output fpga_sys_sda_out has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":108:22:108:32|*Output recov_clk_1 has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL318 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/../ioring/elastix_gemm_top_user_design_port_list.svh":109:22:109:35|*Output recov_clk_1_oe has undriven bits; assigning undriven bits to 'Z'.  Simulation mismatch possible. Assign all bits of the output.
@W: CL168 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":484:18:484:20|Removing instance gddr_gen_noc[1].noc_on.nap because it does not drive other instances. To preserve this instance, use the syn_noprune synthesis directive.
@W: CL169 :"/home/dev/Dev/elastix_gemm/gemm/src/rtl/elastix_gemm_top.sv":277:4:277:12|Pruning unused register submit_stretch_counter[2:0]. Make sure that there are no unused intermediate registers.
